Series;Time;Value
NSW-IX;2018-09-01-05:20:00;169932532774.72797
NSW-IX;2018-09-01-05:25:00;175088588247.61792
NSW-IX;2018-09-01-05:30:00;174661128338.9212
NSW-IX;2018-09-01-05:35:00;175162849140.1468
NSW-IX;2018-09-01-05:40:00;175670105718.19537
NSW-IX;2018-09-01-05:45:00;176432687616.9466
NSW-IX;2018-09-01-05:50:00;176919105141.00385
NSW-IX;2018-09-01-05:55:00;177186560457.32587
NSW-IX;2018-09-01-06:00:00;177564112597.91724
NSW-IX;2018-09-01-06:05:00;178052377346.07025
NSW-IX;2018-09-01-06:10:00;177889430562.73126
NSW-IX;2018-09-01-06:15:00;177844964268.14218
NSW-IX;2018-09-01-06:20:00;178182924020.8766
NSW-IX;2018-09-01-06:25:00;177872076162.61102
NSW-IX;2018-09-01-06:30:00;178211413265.31885
NSW-IX;2018-09-01-06:35:00;179438136735.67343
NSW-IX;2018-09-01-06:40:00;180440430500.75095
NSW-IX;2018-09-01-06:45:00;181374661545.57663
NSW-IX;2018-09-01-06:50:00;182777458548.0462
NSW-IX;2018-09-01-06:55:00;183445086651.3904
NSW-IX;2018-09-01-07:00:00;178351379251.2303
NSW-IX;2018-09-01-07:05:00;179720555444.41806
NSW-IX;2018-09-01-07:10:00;180570034240.5728
NSW-IX;2018-09-01-07:15:00;181186548708.76987
NSW-IX;2018-09-01-07:20:00;181578759199.1393
NSW-IX;2018-09-01-07:25:00;186702075089.43082
NSW-IX;2018-09-01-07:30:00;185730401986.22333
NSW-IX;2018-09-01-07:35:00;184940642266.01947
NSW-IX;2018-09-01-07:40:00;184468657300.91388
NSW-IX;2018-09-01-07:45:00;184007566289.70312
NSW-IX;2018-09-01-07:50:00;184021962440.7994
NSW-IX;2018-09-01-07:55:00;183880760423.59012
NSW-IX;2018-09-01-08:00:00;184164239017.42606
NSW-IX;2018-09-01-08:05:00;184192780237.70673
NSW-IX;2018-09-01-08:10:00;184126667641.4018
NSW-IX;2018-09-01-08:15:00;184627896103.99094
NSW-IX;2018-09-01-08:20:00;184867660766.86484
NSW-IX;2018-09-01-08:25:00;184273005706.1156
NSW-IX;2018-09-01-08:30:00;182973259496.99152
NSW-IX;2018-09-01-08:35:00;182333877520.05457
NSW-IX;2018-09-01-08:40:00;181531258074.31598
NSW-IX;2018-09-01-08:45:00;180691163168.78363
NSW-IX;2018-09-01-08:50:00;180279183766.6641
NSW-IX;2018-09-01-08:55:00;179923645269.03558
NSW-IX;2018-09-01-09:00:00;181168218232.13397
NSW-IX;2018-09-01-09:05:00;178039458750.0084
NSW-IX;2018-09-01-09:10:00;176481583362.12482
NSW-IX;2018-09-01-09:15:00;174892030353.47128
NSW-IX;2018-09-01-09:20:00;173383014158.17877
NSW-IX;2018-09-01-09:25:00;169272739355.0515
NSW-IX;2018-09-01-09:30:00;169406589052.77255
NSW-IX;2018-09-01-09:35:00;167942061900.41162
NSW-IX;2018-09-01-09:40:00;166195657374.59024
NSW-IX;2018-09-01-09:45:00;164543911943.29312
NSW-IX;2018-09-01-09:50:00;163267623450.4073
NSW-IX;2018-09-01-09:55:00;161273892382.66974
NSW-IX;2018-09-01-10:00:00;156323107047.64078
NSW-IX;2018-09-01-10:05:00;154672334874.08414
NSW-IX;2018-09-01-10:10:00;153116200578.48032
NSW-IX;2018-09-01-10:15:00;151126158607.89005
NSW-IX;2018-09-01-10:20:00;149612085501.98944
NSW-IX;2018-09-01-10:25:00;150458610784.37622
NSW-IX;2018-09-01-10:30:00;148223391724.58707
NSW-IX;2018-09-01-10:35:00;145838851771.46127
NSW-IX;2018-09-01-10:40:00;143639525980.09268
NSW-IX;2018-09-01-10:45:00;141041874017.99017
NSW-IX;2018-09-01-10:50:00;138997577272.31256
NSW-IX;2018-09-01-10:55:00;136512394315.4249
NSW-IX;2018-09-01-11:00:00;134639194916.70723
NSW-IX;2018-09-01-11:05:00;132918701323.67368
NSW-IX;2018-09-01-11:10:00;131541547789.89824
NSW-IX;2018-09-01-11:15:00;129914262042.78008
NSW-IX;2018-09-01-11:20:00;128237400386.63315
NSW-IX;2018-09-01-11:25:00;125831335826.76456
NSW-IX;2018-09-01-11:30:00;123588726338.08357
NSW-IX;2018-09-01-11:35:00;121063185178.08708
NSW-IX;2018-09-01-11:40:00;118762358247.89969
NSW-IX;2018-09-01-11:45:00;116593087576.69551
NSW-IX;2018-09-01-11:50:00;114617696105.63388
NSW-IX;2018-09-01-11:55:00;112446451818.82285
NSW-IX;2018-09-01-12:00:00;110624613160.70105
NSW-IX;2018-09-01-12:05:00;108858136197.93492
NSW-IX;2018-09-01-12:10:00;107089877266.78665
NSW-IX;2018-09-01-12:15:00;105202726785.76157
NSW-IX;2018-09-01-12:20:00;103222862177.39287
NSW-IX;2018-09-01-12:25:00;101294963363.88042
NSW-IX;2018-09-01-12:30:00;99682000649.69759
NSW-IX;2018-09-01-12:35:00;98375126968.68588
NSW-IX;2018-09-01-12:40:00;96454695452.22263
NSW-IX;2018-09-01-12:45:00;94847790730.50905
NSW-IX;2018-09-01-12:50:00;92711683959.80423
NSW-IX;2018-09-01-12:55:00;90291975926.41302
NSW-IX;2018-09-01-13:00:00;89208802260.93465
NSW-IX;2018-09-01-13:05:00;89324921180.82903
NSW-IX;2018-09-01-13:10:00;89462215497.71156
NSW-IX;2018-09-01-13:15:00;89686850256.2781
NSW-IX;2018-09-01-13:20:00;89760904794.17195
NSW-IX;2018-09-01-13:25:00;89054059471.28159
NSW-IX;2018-09-01-13:30:00;88325001892.45139
NSW-IX;2018-09-01-13:35:00;87206770028.28636
NSW-IX;2018-09-01-13:40:00;86278196047.96988
NSW-IX;2018-09-01-13:45:00;85798390885.26743
NSW-IX;2018-09-01-13:50:00;85019881853.93228
NSW-IX;2018-09-01-13:55:00;83379294038.42339
NSW-IX;2018-09-01-14:00:00;82217538062.22696
NSW-IX;2018-09-01-14:05:00;81315618937.48015
NSW-IX;2018-09-01-14:10:00;80171714329.96758
NSW-IX;2018-09-01-14:15:00;78788741567.42244
NSW-IX;2018-09-01-14:20:00;77213990130.35254
NSW-IX;2018-09-01-14:25:00;75493159441.82774
NSW-IX;2018-09-01-14:30:00;73843424092.00981
NSW-IX;2018-09-01-14:35:00;72219447237.68883
NSW-IX;2018-09-01-14:40:00;70735141921.4853
NSW-IX;2018-09-01-14:45:00;70066625267.09323
NSW-IX;2018-09-01-14:50:00;69179891191.96611
NSW-IX;2018-09-01-14:55:00;68540102425.6804
NSW-IX;2018-09-01-15:00:00;68408374906.35221
NSW-IX;2018-09-01-15:05:00;68086538006.29126
NSW-IX;2018-09-01-15:10:00;67529992742.16644
NSW-IX;2018-09-01-15:15:00;67147675572.28007
NSW-IX;2018-09-01-15:20:00;66148937022.972855
NSW-IX;2018-09-01-15:25:00;64848278529.35736
NSW-IX;2018-09-01-15:30:00;64165948012.93716
NSW-IX;2018-09-01-15:35:00;63575854345.52315
NSW-IX;2018-09-01-15:40:00;63294558800.020615
NSW-IX;2018-09-01-15:45:00;63668101740.28339
NSW-IX;2018-09-01-15:50:00;64097122772.626816
NSW-IX;2018-09-01-15:55:00;64021601643.78032
NSW-IX;2018-09-01-16:00:00;64664765035.34906
NSW-IX;2018-09-01-16:05:00;65298033305.9526
NSW-IX;2018-09-01-16:10:00;65508609259.69338
NSW-IX;2018-09-01-16:15:00;65759888739.27678
NSW-IX;2018-09-01-16:20:00;66100132324.28241
NSW-IX;2018-09-01-16:25:00;65611448711.126915
NSW-IX;2018-09-01-16:30:00;65153966898.90289
NSW-IX;2018-09-01-16:35:00;64663832137.68014
NSW-IX;2018-09-01-16:40:00;64514611123.95663
NSW-IX;2018-09-01-16:45:00;64776916635.11029
NSW-IX;2018-09-01-16:50:00;65312469134.77321
NSW-IX;2018-09-01-16:55:00;66139772488.86517
NSW-IX;2018-09-01-17:00:00;67739736882.65293
NSW-IX;2018-09-01-17:05:00;68861184901.2243
NSW-IX;2018-09-01-17:10:00;70127383814.64633
NSW-IX;2018-09-01-17:15:00;71770884753.20522
NSW-IX;2018-09-01-17:20:00;73478421184.71944
NSW-IX;2018-09-01-17:25:00;74639133676.07004
NSW-IX;2018-09-01-17:30:00;76131051379.5528
NSW-IX;2018-09-01-17:35:00;77724601149.08594
NSW-IX;2018-09-01-17:40:00;79123753167.85258
NSW-IX;2018-09-01-17:45:00;80493257390.1161
NSW-IX;2018-09-01-17:50:00;82297890370.51736
